ID_REF,IDENTIFIER,GSM15807,GSM15822,GSM15823,GSM15824,GSM15825,GSM15826,GSM15827,GSM15828,GSM15829,GSM15830,GSM15831,GSM15832,GSM15833,GSM15834,GSM15835,GSM15836,GSM15837,GSM15838,GSM15839,GSM15840,GSM15841,GSM15842,GSM15843,GSM15844
1033_g_at,CXCR2,183.9,118.6,677.3,245.7,124.1,340,118.4,223.8,383.5,135,126.3,5.1,635.7,157.1,153.4,412.1,54.4,439.5,338,256.3,327.7,102.4,571.7,648.4,0,0
1034_at,TIMP3,2841.3,1264.1,885,3271.4,2438.2,1590.3,1690.1,1763.5,1582.6,1573.6,2261,97.7,2100.4,1067,1187.6,974.3,1071,1474,2232.1,1478.4,1660.2,1319.2,2051.8,1404.5,0,0
1035_g_at,TIMP3,3252.6,2086.2,630.5,2825.5,2304,885.7,2693.4,1433.2,1468.5,934.9,1967.9,115.1,2543.4,1330.9,1475.8,881.3,928.2,1201.1,2087.8,653.1,1304,994.4,1368,711.5,0,0
1036_at,IL15,259.3,341.6,284.1,244.2,323.2,240.9,402.2,229.5,240.1,308.3,327.8,10.7,96.4,299.9,242.3,306.9,376.4,257.6,344.2,82.9,205.5,252.9,189.4,204.4,0,0
1037_at,BAGE,55.7,34.3,38.3,109.3,42.8,33,226.7,65.1,43.8,58,59.7,3.1,64.5,240.4,32.1,307.5,44.6,174.8,49.7,33.9,204.3,20.3,28.4,47.3,0,0
1038_s_at,IFNGR1,1608.8,3540.5,1742.1,1977.3,3103.5,1161.8,2256.5,1172.2,1796.4,1397.1,1428.9,43.8,2346.6,2242.5,2075.6,1322.8,1441.4,2333.2,1329.1,1517.3,1725.2,1828.7,1359.3,1190.7,0,0
1039_s_at,HIF1A,434.4,615.2,658.2,436.8,529.6,585.1,580.3,275.8,594.1,399.7,549.2,17.8,828.1,502.8,933.6,671.4,1331.2,823.7,611.9,778.2,824.6,3657.9,812,923.1,0,0
103_at,THBS4,1876.2,1535.8,1321,2420.7,951.5,2091.8,1481.4,3625.2,2171,2504.6,1454,145.3,12692.2,6722.9,5001,3519.1,9927.9,13985.9,4379.5,24903.5,51398.9,22781.4,4352.6,6119.6,0,0
1040_s_at,ABI2,214.3,106.4,56.8,138.3,61.2,71.2,26.3,64.8,39.2,33.4,102.2,2.6,73.8,163.2,89.8,112.6,186,151.6,119.2,268.2,155.9,80.1,154.6,239.1,0,0
1041_at,EFNA5,429.4,327.9,218.5,362.7,384,255.9,370.6,448.1,324.8,422.9,382.5,5.4,488.6,478.5,182.5,406.2,193.4,319.6,376,616.5,532.7,335.3,203.2,501.7,0,0
1042_at,RARRES1,47.1,12.8,110.9,79.2,89.7,63,34.4,40.9,29.3,29.6,43.4,1,82.8,85.4,12,130.4,8.3,72.5,21.8,160.4,37.5,123.3,66.5,32.6,0,0
